,Job_ID,Job_Title,Location,Company,Date,Salary,Description,url
112,56fa941b9bb53065,"javascript sdet contract, relo to portland","Seattle, WA",Vaco,1 day ago,None,"They need to be able to cover the UI side (React) and Server-side (Node). JavaScript Test Automation Engineer Retail, Contract. CI/CD (GitLab, Travis, Jenkins.",https://www.indeed.com/viewjob?jk=56fa941b9bb53065&vjs=3
113,29d00e065da89de5,sr. java developer - cloud / connected car,"Seattle, WA 98101 (Downtown area)",Airbiquity Inc.,2 days ago,None,Cloud based telematics design and development: 5 years (Required). Java development for cloud based services: 5 years (Required). Temporarily due to COVID-19.,https://www.indeed.com/viewjob?jk=29d00e065da89de5&vjs=3
114,b053de9ded6d0764,lead full stack developer,"Seattle, WA 98115 (Sand Point area)","Alaska Fisheries Science Center, NOAA National Marine Fisheries Service",21 days ago,None,"This position offers you a rare opportunity to invest into building and leading a development team, apply various problem-solving approaches (offline-first,…",https://www.indeed.com/viewjob?jk=b053de9ded6d0764&vjs=3
115,d329cbb8a5d9eb1f,software development engineer in test (sdet),"Renton, WA",Logical Paradigm LLC,30+ days ago,None,". net (c#)/. net core/java. To be successful in this role, you should have an excellent time management and organizational skills as well as the ideal candidate…",https://www.indeed.com/viewjob?jk=d329cbb8a5d9eb1f&vjs=3
116,470999564f68b85a,avionics hardware test-software engineer,"Kent, WA",Belcan,30+ days ago,None,"EDUCATION AND EXPERIENCE REQUIRED * BS in electrical engineering, computer engineering, computer science, or equivalent experience * SW skills to develop and…",https://www.indeed.com/viewjob?jk=470999564f68b85a&vjs=3
117,3eae62153ef9124b,associate software engineer (real time software engineer),"Kent, WA 98089",BOEING,4 days ago,None,An interim and/or final U. S.  Secret clearance Post Start is required. Supports software research and development projects. This a union represented position.,https://www.indeed.com/viewjob?jk=3eae62153ef9124b&vjs=3
118,e14f43b02d4f1031,"software development engineer, amazon fashion","Seattle, WA",Amazon.com Services LLC,30+ days ago,None,"Knowledge of professional software engineering and best practices for the full software development life cycle, including coding standards, code reviews, source…",https://www.indeed.com/rc/clk?jk=e14f43b02d4f1031&fccid=fe2d21eef233e94a&vjs=3
119,f0963c691f09e34f,information security and compliance lead,"Seattle, WA",Ovation.io,2 days ago,None,"Strong understanding of AWS specifically and cloud computing: 5 years (Required). Proficiency in information security domains, including policies and standards,…",https://www.indeed.com/company/Ovation.io/jobs/Information-Security-Compliance-Lead-f0963c691f09e34f?fccid=2ed406659951de6d&vjs=3
120,2f601570e91285e5,cloud engineer,"Bellevue, WA 98004 (Downtown area)",Symetra,30+ days ago,None,1+ years of experience working as a cloud development engineer on systems at an organization already using AWS services.,https://www.indeed.com/rc/clk?jk=2f601570e91285e5&fccid=c3123dfd9a39895a&vjs=3
121,04b3053a1c3aaeef,lead front end developer,"Seattle, WA 98121 (Belltown area)",Piktorlabs Inc.,14 days ago,None,"We are looking for a full-time Lead Front End Developers for our studio in Seattle, who know the craft of developing great experiences for user interfaces (web…",https://www.indeed.com/company/Moonraft-Innovation-Labs-Inc/jobs/Lead-Front-End-Developer-04b3053a1c3aaeef?fccid=eb8ed2288d567c09&vjs=3
122,76df74eb1cff70b6,lead software development engineer test (sdet),"Kirkland, WA 98034 (Totem Lake area)",Lowe's Home Improvement,9 days ago,None,Experience with task management and version control software tools such as GIT / JIRA / Perforce / VSTS. 10+ years relevant software development experience.,https://www.indeed.com/company/Lowe's/jobs/Lead-Software-Development-Engineer-Test-76df74eb1cff70b6?fccid=9a55d5dc8c10ef41&vjs=3
123,a057a01f9efc9cc2,"software development engineer, videocentral","Seattle, WA",Amazon.com Services LLC,30+ days ago,None,"Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews…",https://www.indeed.com/rc/clk?jk=a057a01f9efc9cc2&fccid=fe2d21eef233e94a&vjs=3
124,7b97a316f2d78f97,devops engineer,"Kirkland, WA",SyncroMSP,30+ days ago,None,"Work with CI tools, and source control such as GIT. Create and manage infrastructure in our multiple cloud providers systems like Heroku, Kubernetes on Google…",https://www.indeed.com/rc/clk?jk=7b97a316f2d78f97&fccid=24b8ef9ebc137a93&vjs=3
125,56444f52f6fba879,"senior full stack software development engineer, zillow offe...","Seattle, WA 98101 (Downtown area)",Zillow,30+ days ago,None,Embrace iterative software development with the goal of adapting quickly and thinking big. We collaborate with teams across Zillow Group to ensure great end-to…,https://www.indeed.com/rc/clk?jk=56444f52f6fba879&fccid=913e1b259c8d65e2&vjs=3
126,813c6e9b6f17a12e,senior software engineer - (back-end),"Bellevue, WA",Voleer,1 day ago,None,"Strong, verifiable software development skills. 8+ years of experience in software engineering. History of practicing and promoting good software development…",https://www.indeed.com/rc/clk?jk=813c6e9b6f17a12e&fccid=dacf81a53999d1be&vjs=3
127,1ac9beb84d40b99f,"embedded software engineer, amazon scout","Seattle, WA",Amazon.com Services LLC,23 days ago,None,Can mentor other software developers to maintain architectural vision and software quality. 3+ years of software development experience.,https://www.indeed.com/rc/clk?jk=1ac9beb84d40b99f&fccid=fe2d21eef233e94a&vjs=3
128,be509a0f37fc0541,devops engineer,"Seattle, WA",LendingTree,30+ days ago,None,"Implementation, Build, Deployment, and Configuration Management. Design New Elements to the Development/Deployment/Testing Process.",https://www.indeed.com/rc/clk?jk=be509a0f37fc0541&fccid=e9e15932789966e0&vjs=3
129,7f3535531fedb68f,"software engineer, cloudkit","Seattle, WA",Apple,9 days ago,None,"Experienced: designing, implementing, and operating highly scalable web services. You will be working on key components of the CloudKit platform and introducing…",https://www.indeed.com/rc/clk?jk=7f3535531fedb68f&fccid=c1099851e9794854&vjs=3
130,adf43d788a8e1b61,software engineer,"Seattle, WA 98161 (Downtown area)",Apex Learning Inc.,Today,None,The software engineer will have expertise and passion for both frontend and backend development. Collaborate onsite with a team of engineers using SCRUM.,https://www.indeed.com/rc/clk?jk=adf43d788a8e1b61&fccid=c8e8e5c23ff84695&vjs=3
131,cc052d601c14a473,full stack software engineer,"Seattle, WA 98104 (Pioneer Square area)",Yesler Solutions,1 day ago,None,2+ years of front-end development experience delivering browser-based interfaces to B2B or B2C website customers. ReactJS experience is strongly preferred.,https://www.indeed.com/company/Yesler-Solutions/jobs/Full-Stack-Software-Engineer-cc052d601c14a473?fccid=572739d4b9c885da&vjs=3
132,8cf0ec1e524b8885,software engineer,"Seattle, WA 98101 (Downtown area)",Hiya,Just posted,None,1+ years of experience getting things done in a professional environment (bonus if this is working as a software engineer).,https://www.indeed.com/rc/clk?jk=8cf0ec1e524b8885&fccid=83995ef45c146180&vjs=3
133,c02435ef0ef79dbe,"software development engineer, foundation","Seattle, WA",Ovation.io,1 day ago,None,"At least three years of commercial, production experience with one high-level language (Java or C#), one interpreted language (JS / Typescript, python, ruby, or…",https://www.indeed.com/company/Ovation.io/jobs/Software-Development-Engineer-c02435ef0ef79dbe?fccid=2ed406659951de6d&vjs=3
134,f5c63f3e2f87d4fa,"software engineer, lending","Seattle, WA",SoFi,2 days ago,None,"Bachelor’s Degree, ideally in a technical field, but we understand great engineers come from all sorts of different backgrounds and also consider relevant work…",https://www.indeed.com/rc/clk?jk=f5c63f3e2f87d4fa&fccid=7c3a1f1f98dde031&vjs=3
135,6b32f05ed5715f81,software engineer,"Seattle, WA",Blink Health,3 days ago,None,Good Learning - Learn something new every day. 3+ years in end-to-end delivery of production software within a software engineering role.,https://www.indeed.com/rc/clk?jk=6b32f05ed5715f81&fccid=6d7040765331fd1d&vjs=3
136,ed652a6f2dcba312,2021 software engineer/developer internship- product and tec...,"Bellevue, WA",T-Mobile,9 days ago,None,Recruiting for the 2021 internship program takes place from September 2020 through March 2021. We'll be virtually visiting campuses across the country and…,https://www.indeed.com/rc/clk?jk=ed652a6f2dcba312&fccid=d124dbfd3785b597&vjs=3
137,f301d0d9092398ef,software development engineer in test (sdet),"Seattle, WA 98101 (Downtown area)",Quadrant Resource LLC,3 days ago,None,Web drivers: 1 year (Preferred).,https://www.indeed.com/company/Quadrant-Resource-LLC/jobs/Software-Development-Engineer-Test-f301d0d9092398ef?fccid=b4eb8262830a3e4d&vjs=3
138,3320fc697f13fbd6,software suite engineer,"Tacoma, WA",PeopleGIS,11 days ago,None,"Real(tm) Customers who give us feedback every single day. When a customer hacks out a solution, you look at it and think ""I can do this for 100 customers in 1…",https://www.indeed.com/viewjob?jk=3320fc697f13fbd6&vjs=3
139,17f2a685f9812c26,backend software engineer,"Seattle, WA 98104 (Downtown area)",Textio,Today,None,"In this role you will collaborate closely with our frontend engineers, data engineers, and the product team to define and create the APIs and distributed…",https://www.indeed.com/rc/clk?jk=17f2a685f9812c26&fccid=e0368d24cb0bc926&vjs=3
140,5c0c1da4b68f40df,full stack software engineer – signing,"Seattle, WA 98101 (Downtown area)",DocuSign,15 days ago,None,5+ years experience as a software engineer. Experience with the design and operation of large scale cloud services. Research new features and technologies.,https://www.indeed.com/rc/clk?jk=5c0c1da4b68f40df&fccid=9dd30dd046d9ac7a&vjs=3
141,ab25b98b5293f67f,"software engineer, front end","Bellevue, WA",Tesla,30+ days ago,None,"Partner with product managers, designers, QA engineers and release engineers as your application moves from development to production.",https://www.indeed.com/rc/clk?jk=ab25b98b5293f67f&fccid=86e9be6ce380173e&vjs=3
142,fe2d2eb2941c7d05,software engineer - systems,"Seattle, WA",ANDURIL INDUSTRIES,30+ days ago,None,Working with mechanical and electrical engineers to define requirements for new products. Crafting reproducible software build systems.,https://www.indeed.com/rc/clk?jk=fe2d2eb2941c7d05&fccid=ee6807b900a9998d&vjs=3
143,f197cf5babc15689,software development engineer in test – windows performance,"Kirkland, WA 98083 (Highlands area)",CrowdStrike,Today,None,You will help build a platform that scales to millions of events per second and Terabytes of data per day. Bring your experience in distributed technologies and…,https://www.indeed.com/viewjob?jk=f197cf5babc15689&vjs=3
144,642de856f244a9cd,software engineer intern - mapping,"Redmond, WA 98052 (Rose Hill area)",NVIDIA,1 day ago,None,"We are seeking the best engineers passionate about solving problems for self-driving cars with a background in software and framework design, embedded software,…",https://www.indeed.com/rc/clk?jk=642de856f244a9cd&fccid=c267f29f0f85e8b8&vjs=3
145,d650ce913f53d99f,"software engineer, server infrastructure","Seattle, WA",Niantic,21 days ago,None,"You have experience engineering scalable or cloud-based server systems. You will work on real-time indexing, querying and aggregation problems at massive scales…",https://www.indeed.com/rc/clk?jk=d650ce913f53d99f&fccid=01465af2a33181a1&vjs=3
146,34dbf4c00bd44e0f,software engineer - production engineering,"Seattle, WA 98104 (Downtown area)",Clear Channel Outdoor,30+ days ago,None,"You are highly capable software development engineer, having built enterprise-class web apps, platforms and APIs.",https://www.indeed.com/rc/clk?jk=34dbf4c00bd44e0f&fccid=a17e60dc3772092d&vjs=3
147,cc7e854c1ae3aae4,software development engineer ii,"Seattle, WA 98101 (Downtown area)",Tomorrow,3 days ago,None,"Every line of code gets reviewed by other developers, every pixel inspected by designers, and every feature battle tested by manual and automated QA.",https://www.indeed.com/rc/clk?jk=cc7e854c1ae3aae4&fccid=0da177e1f59fefb9&vjs=3
148,73708ee64176697d,fullstack software engineer,"Seattle, WA 98104 (Downtown area)",Mixpanel,30+ days ago,None,"Through our analytics platform, companies can analyze how and why their users engage, convert, and retain in real-time across web, mobile, and smart devices.",https://www.indeed.com/rc/clk?jk=73708ee64176697d&fccid=ee4b0cf4f4f8a5c6&vjs=3
149,9b49cdffb1a05706,frontend software engineer,"Seattle, WA 98104 (Downtown area)",Mixpanel,30+ days ago,None,"Through our analytics platform, companies can analyze how and why their users engage, convert, and retain in real-time across web, mobile, and smart devices.",https://www.indeed.com/rc/clk?jk=9b49cdffb1a05706&fccid=ee4b0cf4f4f8a5c6&vjs=3
150,3bf16c16b362b5f2,c++ software engineer - seattle,"Seattle, WA 98101 (Downtown area)",Near Earth Autonomy,21 days ago,None,Implement and maintain software development and configuration control best practices to reliably deliver software. Knowledge of how to write and test software.,https://www.indeed.com/rc/clk?jk=3bf16c16b362b5f2&fccid=2810a58d26a4ed2f&vjs=3
151,dfb18e0ff96e5887,software development engineer,"Seattle, WA 98103 (Fremont area)",Impinj,21 days ago,None,Join a team of exceptionally capable colleagues who work passionately on everything from silicon chip designs to Ember. js web interfaces.,https://www.indeed.com/rc/clk?jk=dfb18e0ff96e5887&fccid=c3e8a5d99db6c2ae&vjs=3
152,d17a01ac0f6ad95f,diagnostic software engineer,"Kirkland, WA",PACCAR,2 days ago,None,Experience with software development will be highly valued. Ability to travel domestically or internationally up to 5%.,https://www.indeed.com/rc/clk?jk=d17a01ac0f6ad95f&fccid=c2c6a7536e4d9df3&vjs=3
153,0af774e6e88460b6,software engineer - oci platform metering team (joinoci),"Seattle, WA",Oracle,30+ days ago,None,"Distributed cloud engineering experience in a software development environment. Deep understanding of object-oriented design and SDK development, specifically…",https://www.indeed.com/rc/clk?jk=0af774e6e88460b6&fccid=cd22d01053af7669&vjs=3
154,e1c96ad8748359f8,web / front end software engineer,"Seattle, WA 98121 (Belltown area)",Sage Bionetworks,22 days ago,None,"Familiarity with professional software development tools, including issue tracking, source control management, and continuous integration and testing…",https://www.indeed.com/rc/clk?jk=e1c96ad8748359f8&fccid=47a26073831c4873&vjs=3
155,d334ecf10653e42a,frontend software engineer - reporting platform,"Seattle, WA 98104 (Pioneer Square area)",Qualtrics,6 days ago,None,"Experience with software engineering standard methodologies (e. g.  unit testing, code reviews, design document). Bachelor’s degree in Computer Science.",https://www.indeed.com/company/Qualtrics/jobs/Frontend-Software-Engineer-d334ecf10653e42a?fccid=10db9f943841d5db&vjs=3
